segment_0,segment_1,segment_2,segment_3,segment_4,segment_5
0.00030744293865112455,0.001644647166909868,0.0024247702750170366,0.004116257030092911,0.0083711765168894,0.008500578929978022
0.0004386849604101003,0.0021283862015458455,0.001714497429693468,0.005772890553674501,0.005514189105389268,0.012649589409459257
0.00043194283997509056,0.0026823357871474237,0.0011158118427974574,0.007531420761304133,0.0029554535051384686,0.016831140212402625
0.0005124850016968693,0.002771867086041123,0.0010078539254110802,0.007992103811118152,0.002659389343170477,0.017798366791490907
0.0006746873966463457,0.0027426899079741256,0.00137771500854638,0.008151733098422433,0.0033383765129731324,0.018280870720659658
0.0009325099438863298,0.002595152091610314,0.0021325202503365654,0.008138519033015204,0.004805486772248658,0.01844175297683559
0.001294427282950831,0.0025079585290326617,0.0031244287123182194,0.00827891283730718,0.006656350988987564,0.018957925234496846
0.0015020261650362393,0.002371650857100821,0.0037864948092360285,0.00831166365202803,0.007910040359254368,0.01919667532120091
0.001644647166909868,0.0024247702750170366,0.004116257030092911,0.0083711765168894,0.008500578929978022,0.019370075615264506
0.9869746443697582,0.9344939320512197,0.941364278525142,0.9089120253692344,0.9230068478579068,0.8862709228858612
0.9850551603048507,0.9347124261728788,0.9405182128921579,0.909337204786111,0.922171531458892,0.8866962344382028
0.9813955596903438,0.9353000186107586,0.9385925201705051,0.9103276216688533,0.9202103522810483,0.8875841609683198
0.9763841559066294,0.9359830874642656,0.936083661432449,0.9115615782913413,0.9176730521278919,0.8886927827367131
0.964754901663302,0.9379513829312626,0.9286928483017334,0.915134064830919,0.9100965553411144,0.8912873995530772
0.9514287389810089,0.9398005101240486,0.919940491913679,0.9189655105781747,0.9003256839600859,0.8945011093346273
0.9405229009693419,0.940930642518409,0.9127822181374224,0.9217219579650859,0.8916434435046192,0.8973961258298887
0.9362155569712733,0.9412473940896434,0.9100083709554586,0.9226505152487634,0.8878052164415305,0.8986783500285003
0.9344939320512197,0.941364278525142,0.9089120253692344,0.9230068478579068,0.8862709228858612,0.8992043170405103
