Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Inner Cost,Outer Cost,Gradient Cost
1,5,-8.041472483524133,-4.345706831607608,-10.58361165258501,-5.394079378167943,0.03038824701439096,0.02278531738815795,0.007602929626233011
1,6,-5.206061614082987,-4.72790859065945,-8.040205510516277,-7.651148849449289,0.031253325292059826,0.022790431017126665,0.008462894274933162
1,7,-6.988852960994265,-8.596972947217381,-5.934172259001657,-2.6724903153047923,2.2506908659730813,0.055486019503972986,2.1952048464691085
1,8,-6.426963401096922,-7.097221051269465,-6.900827628148774,-3.283033324058527,0.04495492105458571,0.022805451060468922,0.02214946999411679
1,9,-6.4711474620661145,-4.52599601305424,-8.290286370347212,-5.937413457744905,0.030469288817985697,0.022785029390512225,0.007684259427473472
1,10,-8.130481445936557,-2.0604927670836934,-1.5217011884706748,-6.14785728656448,278.0574187531187,9.78905509117658,268.26836366194215
1,11,-5.88223821545226,-5.931026372787412,-6.177353803266794,-4.041613980642724,0.0551817497072009,0.022813012963600648,0.032368736743600246
1,12,-4.346023691327192,-8.020253936195543,-10.675119758724978,-6.356355896981798,0.04805601952914701,0.022868412305457306,0.025187607223689703
1,13,-6.190950844729427,-3.2200909953077996,-0.7426887020651547,-5.726040048181767,1240.8308831836212,50.19187189513458,1190.6390112884865
2,0,-4.02487275513494,-3.715768533515588,-5.6690760972238055,-4.198247283022172,0.06901434273078727,0.0228653837701656,0.04614895896062167
2,1,-9.647556471754031,-9.861062474653764,-7.698515831032473,-9.971536310193208,0.03147962802832674,0.02278374845629185,0.008695879572034888
2,2,-3.6355668721253567,-5.773479992560111,-8.182854475310782,-7.164038912996566,0.0815895369451553,0.02318765379748467,0.058401883147670634
2,3,-10.655847382614844,-3.38197352467751,-13.109696261282892,-3.275481005476423,0.030382135964068423,0.022785190118085028,0.007596945845983395
2,4,-3.381914453957723,-2.908766455729671,-6.195833780335831,-3.943577752419216,0.045088075626138036,0.022791261848868694,0.02229681377726934
2,5,-8.99892196830697,-8.34956885444261,-7.897357331756865,-7.4351275689139475,0.031066961039409906,0.022783874654644844,0.008283086384765062
2,6,-11.580888946870713,-3.562553515307499,-9.937037776196936,-5.533493227249408,0.030378584086772666,0.022784920839869494,0.007593663246903172
2,7,-7.651057481098777,-5.573997992283941,-9.703140022244426,-7.689846519932148,0.030427624115518956,0.022785414325042844,0.007642209790476112
2,8,-3.24701090212933,-4.137940822041971,-5.1645220676929675,-10.0909547720405,0.10456097933550391,0.022846986061266148,0.08171399327423777
2,9,-8.6971675209199,-4.153122862144136,-10.353893799038989,-5.608896970913394,0.030380268943987893,0.022785134111973485,0.007595134832014409
2,10,-2.7499116506027734,-3.672817844434591,-9.074816186304817,-4.556495384139703,0.13432037447877562,0.02352205370403294,0.11079832077474268
2,11,-3.0332758578916703,-6.911091706675409,-7.1178711122969025,-6.380510580126238,0.2081941927538139,0.026412417883001738,0.18178177487081215
2,12,-1.7249303378427854,-6.911663815362509,-6.540770987364287,-5.0603546847699565,2.3124813233112858,0.2417075652097453,2.0707737581015406
2,13,-5.82401554415685,-3.4020721163503027,-10.59738084587639,-4.112347329885648,0.030327315702751927,0.02278620277815971,0.007541112924592218
2,14,-3.3856994648639636,-5.45110729178618,-6.797759086975399,-5.458704050108483,0.08443609093001338,0.023385579913498385,0.06105051101651499
3,0,-4.597428509262403,-4.389849108283127,-8.441579475662415,-4.928626940129373,0.03341098847285264,0.02280046133650457,0.010610527136348073
3,1,-11.602559724267309,-1.2123130894875178,-14.17576363631672,-1.9433689040351583,0.302551287229541,0.025137301047888087,0.2774139861816529
3,2,-8.107024032012367,-13.014590359131962,-2.5021197094721845,-3.700022676745025,67.18029000690497,5.08054866484187,62.0997413420631
3,3,-10.286715611429656,-7.414039032147571,-9.621778536109334,-10.057800467554019,0.030397944097625106,0.022784892253103324,0.0076130518445217815
3,4,-4.289346541925037,-2.705635954336784,-10.00453691136665,-3.661304859650131,0.038420430471783944,0.02278467568924243,0.015635754782541512
3,5,-7.998546480708782,-8.194163956173794,-7.268566069705022,-9.151025646260235,0.03296419373444219,0.022783849693696297,0.010180344040745894
4,0,-9.02985953550439,-2.707347609885649,-6.956203649878176,-5.147057540561138,0.03538019354689174,0.02278512551540431,0.012595068031487428
4,1,-4.6200912649249,-7.5260599911134705,-10.125026723328801,-5.798437377652522,0.0405097916782191,0.022829110062784617,0.017680681615434485
4,2,-10.085730383799753,-4.098630284870321,-8.710898450746003,-5.815200130188118,0.03046511530373497,0.022784360490393573,0.007680754813341396
4,3,-7.311440783626427,-11.668481556369528,-7.948093291493602,-10.005243270336226,0.030914673168773023,0.022784351808225002,0.008130321360548021
4,4,-8.282952308207367,-5.78896196564127,-8.43726571273526,-7.18463171116894,0.03056721760261844,0.022784399524285813,0.0077828180783326255
4,5,-2.5598499014389144,-3.3488779988266963,-6.311528363979953,-5.892427103791606,0.07849943378672153,0.023077098890734393,0.055422334895987135
4,6,-5.402236131413421,-9.541084734270644,-6.841138618514895,-8.997834720056208,0.03447574527755175,0.022786433254666314,0.011689312022885433
4,7,-5.5226472683154135,-5.979949747238812,-8.936836034202786,-9.606350062718898,0.031686888292594514,0.022791869636068784,0.00889501865652573
4,8,-7.572169668972851,-6.174822632085895,-6.457366958360004,-6.154877954396636,0.04422259907574689,0.022789696109776592,0.021432902965970297
4,9,-8.842263254600997,-6.598201865282412,-1.9320930810983112,-3.6274787130354174,208.07989121252297,15.363184282900132,192.71670692962283
4,10,-6.393536721346785,-9.056550705416203,-8.950231603042717,-8.958243939221983,0.030718728693596445,0.02278700575176798,0.007931722941828465
4,11,-9.831925277364666,-2.947156574017734,-12.104917850569988,-3.41689664684875,0.03036527247773536,0.02278513766398897,0.007580134813746392
4,12,-5.590960390700054,-2.122851718027928,-4.7452328509091295,-3.817217176633395,0.7407887422880243,0.025840863669957394,0.7149478786180669
4,13,-10.564395584434806,-13.483249575415277,-9.974406160109673,-10.179878622056247,0.030392286775402007,0.02278500142306756,0.007607285352334448
5,0,-10.717983800880589,-4.967426168609769,-6.824690478200729,-3.170304684855002,0.061793434849993556,0.022838554196861597,0.03895488065313196
5,1,-8.761929117752727,-6.442961711965754,-9.866053002437177,-6.167999021761916,0.030397551180186413,0.02278509976344007,0.0076124514167463415
5,2,-4.936154628847053,-8.503932980140805,-7.880214720341867,-6.492017904478758,0.03407450144039859,0.02280214196838069,0.011272359472017903
5,3,-6.871836973842494,-5.53270867190332,-14.42178324760824,-2.948629444631994,0.030570272149494586,0.02278657464393329,0.007783697505561297
5,4,-11.548619373144675,-4.310551591475404,-8.733146123499482,-5.539407979967855,0.03045567361877604,0.022784333458647596,0.007671340160128444
5,5,-10.958790887584906,-9.982662381524275,-10.685422443943612,-7.2410572740381385,0.0303905186739154,0.022785109980732025,0.007605408693183376
5,6,-9.255596137406487,-11.226730311612688,-9.952818019288172,-6.301134644806095,0.03039460161817494,0.022785062269506197,0.007609539348668742
5,7,-10.002298814383431,-8.269140285448097,-7.070804176340322,-8.220389689978818,0.034537621197315495,0.022784295234395204,0.01175332596292029
