Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Inner Cost,Outer Cost,Gradient Cost
2,9,-2.3865570867803845,-3.3599750019747003,-4.4692448931566915,-10.287963875241378,0.2414299983558544,0.027304376000469997,0.2141256223553844
2,10,-2.561605827895379,-4.096997168782473,-3.849057110282815,-8.194098825864026,1.6195649478061975,0.03810384380685313,1.5814611039993445
2,11,-6.646618125581651,-5.048834997316451,-5.803306165494996,-6.674062406881154,0.07865555364009019,0.026146961701752618,0.052508591938337575
2,12,-2.2229342738441984,-7.295895737579194,-3.608225253802707,-3.0100352245468134,13.00859595710354,2.0354448900264015,10.973151067077138
2,13,-9.733130166038567,-6.639350517149648,-10.860833378581981,-6.096219725543981,0.030079764636726146,0.026132144210463795,0.003947620426262351
2,14,-2.415359317406396,-5.584726734498401,-5.074432601973529,-7.058403594181975,0.22304019943082878,0.038050387203838826,0.18498981222698996
2,15,-6.508078822349892,-3.001343947437069,-7.297581290996428,-8.695890289455726,0.031782828857773754,0.026127137833194605,0.005655691024579149
2,16,-5.607076480016405,-9.079609400513917,-9.787818729159968,-4.54013050498911,0.03093725077613929,0.026143860962707478,0.0047933898134318136
2,17,-6.157837787319563,-5.791324734641783,-6.644990021185665,-7.976375336078375,0.037548156268215574,0.026126600550150217,0.011421555718065357
2,18,-7.858899822438332,-4.716143664079015,-7.866219541479817,-7.609291962539483,0.030745575472256852,0.02612896843062599,0.004616607041630864
2,19,-6.154478119313053,-6.378767779100651,-3.4282094603453226,-2.5977827908564826,129.09685877470497,12.78189969646077,116.3149590782442
